"Category","Test ID","Section","Test Case Description","Priority","Expected Result","Actual Result","Status","Tester","Notes"
"Admin - Inquiries","ADMIN-INQ-003","Admin Inquiries","Verify inquiry accept","High","Accept button changes status to accepted and sends notification email to requester","","Not Tested","",""
"Admin - Inquiries","ADMIN-INQ-004","Admin Inquiries","Verify inquiry decline","High","Decline button opens reason modal; status changes to declined with reason saved and email sent","","Not Tested","",""
"Admin - Inquiries","ADMIN-INQ-005","Admin Inquiries","Verify rejection reason display","Medium","Declining requires a rejection reason that displays on public tracking page","","Not Tested","",""
"Admin - Inquiries","ADMIN-INQ-006","Admin Inquiries","Verify role access for inquiries","Medium","Only super_admin, staff, and soccom can access inquiries; super_admin+staff see intentions only","","Not Tested","",""
"Admin - Inquiries","ADMIN-INQ-007","Admin Inquiries","Verify inquiry filtering","Medium","Inquiries can be filtered by type (Baptism, Wedding, etc.) and status (pending/accepted/declined)","","Not Tested","",""
"Admin - Inquiries","ADMIN-INQ-008","Admin Inquiries","Verify inquiry email notification","High","On accept/decline, requester receives email via InquiryStatusUpdated notification","","Not Tested","",""
"Admin - Donations","ADMIN-DON-001","Admin Donations","Verify donations index page loads","High","/internal/donations shows donations table with donor, amount, purpose, method, status, date, and reference","","Not Tested","",""
"Admin - Donations","ADMIN-DON-002","Admin Donations","Verify donation stats cards","High","Page shows Total Received, Today, and Total Donations stat cards with correct calculated values","","Not Tested","",""
"Admin - Donations","ADMIN-DON-003","Admin Donations","Verify donation status display","Medium","Table shows correct status badges for pending, paid, failed, and cancelled donations","","Not Tested","",""
"Admin - Donations","ADMIN-DON-004","Admin Donations","Verify role access for donations","High","Only super_admin and staff can access /internal/donations; soccom is denied","","Not Tested","",""
"Admin - Live Chat","ADMIN-CHAT-001","Admin Live Chat","Verify chats index page","High","/internal/chats shows list of chat sessions with participant info, last message, status","","Not Tested","",""
"Admin - Live Chat","ADMIN-CHAT-002","Admin Live Chat","Verify chat session detail","High","Clicking a chat session opens conversation view with full message history","","Not Tested","",""
"Admin - Live Chat","ADMIN-CHAT-003","Admin Live Chat","Verify admin reply","High","Admin can type and send replies; messages appear in user chat window in real-time via polling","","Not Tested","",""
"Admin - Live Chat","ADMIN-CHAT-004","Admin Live Chat","Verify resolve chat","High","Resolve button marks chat as resolved; user chat shows end message and Start New Chat button","","Not Tested","",""
"Admin - Live Chat","ADMIN-CHAT-005","Admin Live Chat","Verify pause/resume chat","Medium","Pause button puts chat back to AI mode with system message; Resume reconnects agent","","Not Tested","",""
"Admin - Live Chat","ADMIN-CHAT-006","Admin Live Chat","Verify admin typing indicator","Medium","When admin is typing, user chat shows Agent is typing indicator","","Not Tested","",""
"Admin - Live Chat","ADMIN-CHAT-007","Admin Live Chat","Verify sessions HTML endpoint","Low","/internal/chats/sessions-html returns HTML fragment for live chat session list","","Not Tested","","Technical QA - API endpoint check"
"Admin - Live Chat","ADMIN-CHAT-008","Admin Live Chat","Verify admin chat poll","Medium","/internal/chats/{id}/poll returns JSON with new messages and chat status","","Not Tested","","Technical QA - API endpoint check"
"Admin - Live Chat","ADMIN-CHAT-009","Admin Live Chat","Verify admin accept agent request","High","When user requests live agent, admin sees notification and can click to connect","","Not Tested","",""
"Admin - Live Chat","ADMIN-CHAT-010","Admin Live Chat","Verify live chat role access","Medium","super_admin and soccom can access live chat admin pages; staff is denied","","Not Tested","","Fixed: was incorrectly soccom-only"
"Admin - Users","ADMIN-USER-001","Admin Users","Verify users index page","High","/internal/users shows table of users with name, email, role, active status, and actions","","Not Tested","",""
"Admin - Users","ADMIN-USER-002","Admin Users","Verify user creation","High","Add user form with name, email, password, role (super_admin/staff/soccom), is_active checkbox","","Not Tested","",""
"Admin - Users","ADMIN-USER-003","Admin Users","Verify user editing","Medium","Editing a user updates name, email, password (optional), role, and active status correctly","","Not Tested","",""
"Admin - Users","ADMIN-USER-004","Admin Users","Verify user deletion","Medium","Deleting a user removes them from the system (soft delete)","","Not Tested","",""
"Admin - Users","ADMIN-USER-005","Admin Users","Verify role-based user access","High","Only super_admin can access user management; staff and soccom are denied","","Not Tested","",""
"Admin - Settings","ADMIN-SET-001","Admin Settings","Verify settings index page","High","/internal/settings shows form with global settings: parish info, contact details, payment methods, social links","","Not Tested","",""
"Admin - Settings","ADMIN-SET-002","Admin Settings","Verify settings update","High","Updating settings saves to database and reflects immediately on public pages","","Not Tested","",""
"Admin - Settings","ADMIN-SET-003","Admin Settings","Verify GCash number setting","Medium","Setting GCash number in admin reflects on donate page QR tab and intention form donation section","","Not Tested","",""
"Admin - Settings","ADMIN-SET-004","Admin Settings","Verify QR code upload","Medium","QR code image can be uploaded/selected and displays on donate QR tab","","Not Tested","",""
"Admin - Settings","ADMIN-SET-005","Admin Settings","Verify role access for settings","High","Only super_admin can access settings; staff and soccom are denied","","Not Tested","",""
"Admin - PPT Tools","ADMIN-PPT-001","Admin PPT Tools","Verify PPT generation form","High","PPT tools page shows form to select mass schedule and generate presentation","","Not Tested","",""
"Admin - PPT Tools","ADMIN-PPT-002","Admin PPT Tools","Verify PPT preview","High","Generate PPT button creates presentation; preview link opens downloadable preview","","Not Tested","",""
"Admin - PPT Tools","ADMIN-PPT-003","Admin PPT Tools","Verify Google Slides creation","High","Create Google Slides button opens Google OAuth flow and creates slides from mass schedule","","Not Tested","",""
"Admin - PPT Tools","ADMIN-PPT-004","Admin PPT Tools","Verify role access for PPT tools","Medium","super_admin, staff, and soccom can access PPT tools","","Not Tested","",""
"Admin - Video Highlights","ADMIN-VH-001","Admin Highlights","Verify highlights index page","High","/internal/highlights shows list of video highlights with title, URL, and sort order","","Not Tested","",""
"Admin - Video Highlights","ADMIN-VH-002","Admin Highlights","Verify highlight creation","High","Create form with title, video URL/path, and embed code","","Not Tested","",""
"Admin - Video Highlights","ADMIN-VH-003","Admin Highlights","Verify highlight reordering","Medium","Drag-and-drop reordering persists new sort order to database","","Not Tested","",""
"Admin - Video Highlights","ADMIN-VH-004","Admin Highlights","Verify highlight display on gallery","Medium","Video highlights appear on public gallery pages with proper embed","","Not Tested","",""
"Admin - Video Highlights","ADMIN-VH-005","Admin Highlights","Verify role access for highlights","Medium","Only super_admin and soccom can manage video highlights","","Not Tested","",""
"Admin - Video Highlights","ADMIN-VH-006","Admin Highlights","Verify highlight publish/draft toggle","High","Unpublished highlights are hidden from public gallery; published highlights display with embed","","Not Tested","",""
"Responsive Design","RESP-001","All Pages","Verify homepage on mobile (375px)","High","All sections stack vertically; mobile drawer menu works; hero text scales down; quick actions grid becomes 2 columns","","Not Tested","",""
"Responsive Design","RESP-002","All Pages","Verify homepage on tablet (768px)","High","Navbar switches to mobile mode; events grid shows 2 columns; content adjusts appropriately","","Not Tested","",""
"Responsive Design","RESP-003","All Pages","Verify homepage on desktop (1440px+)","High","Full-width layout; 4-column quick actions grid; 3-column events grid; all hover effects work","","Not Tested","",""
"Responsive Design","RESP-004","All Pages","Verify mass schedule responsive design","High","On mobile, schedule sidebar becomes full-width at top with centered text; content stacks below","","Not Tested","",""
"Responsive Design","RESP-005","All Pages","Verify events calendar on mobile","High","Calendar view scrolls horizontally; grid cells remain readable; event modal is full-width","","Not Tested","",""
"Responsive Design","RESP-006","All Pages","Verify gallery responsive grid","High","Gallery images stack to single column on mobile, 2-3 columns on tablet, 4+ on desktop","","Not Tested","",""
"Responsive Design","RESP-007","All Pages","Verify chatbot responsive sizing","High","Chat window width adjusts: full width minus padding on mobile, fixed 410px max on desktop","","Not Tested","",""
"Responsive Design","RESP-008","All Pages","Verify donation page responsive","High","On mobile, donation info panel moves below payment form; tabs may stack vertically","","Not Tested","",""
"Responsive Design","RESP-009","All Pages","Verify inquiry form responsive","High","On mobile, sidebar moves to top or collapses; form fields stack to single column","","Not Tested","",""
"Responsive Design","RESP-010","All Pages","Verify track status page responsive","High","Track form and result card are centered and readable on all screen sizes","","Not Tested","",""
"Responsive Design","RESP-011","All Pages","Verify admin dashboard responsive","High","Admin tables become horizontally scrollable on mobile; sidebar collapses to icons","","Not Tested","",""
"Security & Validation","SEC-001","All Forms","Verify CSRF token on all forms","High","All POST forms include @csrf token; submitting without token returns 419 Page Expired","","Not Tested","",""
"Security & Validation","SEC-002","All Forms","Verify form input sanitization","High","Form inputs are sanitized; XSS payloads in name/message fields are escaped on display","","Not Tested","",""
"Security & Validation","SEC-003","All Forms","Verify rate limiting on submissions","High","Mass intention and inquiry forms have throttle:submissions middleware; excessive submissions are blocked","","Not Tested","",""
"Security & Validation","SEC-004","All Forms","Verify email format validation","Medium","Email fields validate proper format; invalid emails show error message","","Not Tested","",""
"Security & Validation","SEC-005","All Forms","Verify required field validation","High","All required fields show validation errors when left empty","","Not Tested","",""
"Security & Validation","SEC-006","Admin Auth","Verify password is hashed","High","User passwords are stored as bcrypt hashes in database, never in plain text","","Not Tested","","Technical QA - requires DB access"
"Security & Validation","SEC-007","Admin Auth","Verify session security","High","Session expires after inactivity; session cookie has Secure and HttpOnly flags","","Not Tested","",""
"Security & Validation","SEC-008","Admin Auth","Verify signed URL for donation receipt","Medium","Donation receipt route uses signed middleware; invalid signatures are rejected","","Not Tested","",""
"Security & Validation","SEC-009","Donation","Verify PayMongo webhook signature","High","Webhook endpoint validates PayMongo signature to prevent forged requests","","Not Tested","","Technical QA - requires Postman/cURL"
"Security & Validation","SEC-010","All","Verify Google service account credentials not exposed","High","Google OAuth/service account JSON files are stored in storage/app, not accessible via web","","Not Tested","","Technical QA - server/filesystem check"
"Performance","PERF-001","All Pages","Verify page load time","Medium","Homepage loads in under 3 seconds on fast connection; Largest Contentful Paint under 2.5s","","Not Tested","",""
"Performance","PERF-002","All Pages","Verify image optimization","Medium","Images use fetchpriority, decoding=async, and proper width/height attributes","","Not Tested","",""
"Performance","PERF-003","All Pages","Verify font loading","Medium","Canterbury font is preloaded via preload as=font; web fonts load without FOIT","","Not Tested","",""
"Performance","PERF-004","All Pages","Verify Vite build assets are loaded","High","Built CSS and JS files load from /public/build/ with correct manifest paths","","Not Tested","",""
"Performance","PERF-005","All Pages","Verify lazy loading on gallery","Medium","Gallery images below the fold are lazy-loaded","","Not Tested","",""
"Performance","PERF-006","Admin","Verify SSE connection for notifications","High","Dashboard SSE endpoint does not consume excessive server resources","","Not Tested","","Technical QA - load/ops testing"
"SEO & Accessibility","SEO-001","All Public Pages","Verify meta description tag","High","Each public page has a unique meta description tag in the head","","Not Tested","",""
"SEO & Accessibility","SEO-002","All Public Pages","Verify Open Graph tags","Medium","Pages include og:title, og:description, og:image tags for social sharing","","Not Tested","",""
"SEO & Accessibility","SEO-003","All Pages","Verify sitemap.xml exists and is valid","High","/sitemap.xml returns valid XML including /, /about, /mass-schedule, /submit-intention, /inquiry, /events, /gallery, /donate, /announcements, /bulletins, /track","","Not Tested","","Known gap: sitemap currently missing /announcements, /bulletins, /track"
"SEO & Accessibility","SEO-004","All Pages","Verify robots.txt","High","/robots.txt exists and disallows admin/internal paths","","Not Tested","",""
"SEO & Accessibility","SEO-005","All Pages","Verify favicon display","Medium","favicon.ico loads in browser tab and is properly linked in head","","Not Tested","",""
"SEO & Accessibility","SEO-006","All Pages","Verify ARIA labels on interactive elements","Medium","Buttons, links, and form elements have appropriate aria-label attributes","","Not Tested","",""
"SEO & Accessibility","SEO-007","All Pages","Verify heading hierarchy","Medium","Pages follow H1-H2-H3 hierarchy; only one H1 per page","","Not Tested","",""
"SEO & Accessibility","SEO-008","All Pages","Verify skip to content / keyboard navigation","Medium","Key interactive elements are reachable via Tab key; focus rings are visible","","Not Tested","",""
"SEO & Accessibility","SEO-011","All Pages","Verify skip to main content link","Medium","Skip to main content link is first focusable element; activating it jumps focus to #main-content","","Not Tested","",""
"SEO & Accessibility","SEO-009","All Pages","Verify alt text on images","High","All content images have descriptive alt text; decorative images have empty alt","","Not Tested","",""
"SEO & Accessibility","SEO-010","Chatbot","Verify chatbot accessibility","Medium","Chatbot has aria-label on trigger button, proper focus management, and escape key closes window","","Not Tested","",""
"Email & Notifications","EMAIL-001","Intention Submission","Verify intention received email","High","On submission, requester receives email with reference ID and details","","Not Tested","",""
"Email & Notifications","EMAIL-002","Intention Status Update","Verify intention status change email","High","When admin changes status, requester receives email with new status and rejection reason if declined","","Not Tested","",""
"Email & Notifications","EMAIL-003","Inquiry Submission","Verify inquiry received email to admin","High","On submission, admin/SocCom team receives notification of new inquiry","","Not Tested","",""
"Email & Notifications","EMAIL-004","Inquiry Status Update","Verify inquiry status change email to requester","High","When admin accepts/declines, requester receives email with status and reason","","Not Tested","",""
"Email & Notifications","EMAIL-005","Donation Receipt","Verify donation receipt email","High","After successful PayMongo payment, donor receives email receipt with transaction details","","Not Tested","",""
"Email & Notifications","EMAIL-006","Admin Notifications","Verify admin email notifications","High","Admin users receive email notifications for new intentions, inquiries, and donations","","Not Tested","",""
"Email & Notifications","EMAIL-007","Inquiry Submitted","Verify notification appears in admin panel","Medium","New inquiries trigger database notifications visible in admin dashboard SSE stream","","Not Tested","",""
"Email & Notifications","EMAIL-008","Intention Submitted","Verify notification appears in admin panel","Medium","New intentions trigger database notifications visible in admin dashboard SSE stream","","Not Tested","",""
"Integration","INTEGR-001","Google Services","Verify Google OAuth login flow","High","Google auth endpoint initiates OAuth; callback stores tokens correctly","","Not Tested","",""
"Integration","INTEGR-002","Google Services","Verify Google Slides creation","High","PPT generation can create Google Slides from mass schedule data via API","","Not Tested","",""
"Integration","INTEGR-003","Google Services","Verify Google Drive file access","Medium","Generated slides/PPTs are accessible via Google Drive with correct permissions","","Not Tested","",""
"Integration","INTEGR-004","PayMongo","Verify PayMongo checkout redirect","High","Donation checkout creates PayMongo checkout session and redirects to payment page","","Not Tested","",""
"Integration","INTEGR-005","PayMongo","Verify PayMongo webhook success handling","High","Successful payment webhook updates donation status and sends receipt email","","Not Tested","",""
"Integration","INTEGR-006","AI Chatbot","Verify Groq/OpenRouter API connection","High","Chatbot sends/receives messages via AI API; responses are contextually relevant","","Not Tested","",""
"Integration","INTEGR-007","AI Chatbot","Verify AI service fallback","Medium","If primary AI service fails, fallback service (if configured) takes over","","Not Tested","",""
"Integration","INTEGR-008","Supabase Storage","Verify Supabase storage integration","High","Images and assets are served from Supabase S3-compatible storage URLs","","Not Tested","",""
"Integration","INTEGR-009","Facebook Live","Verify Facebook webhook verification","High","GET /webhooks/facebook-live returns correct verification challenge","","Not Tested","",""
"Integration","INTEGR-010","Facebook Live","Verify Facebook live webhook handling","Medium","POST /webhooks/facebook-live processes live video status events and updates live mass slot","","Not Tested","",""
"Integration","INTEGR-011","Daily Readings","Verify daily readings API preload","Medium","GET /api/readings/today returns Catholic readings in EN or TG; falls back from USCCB to Evangelizo","","Not Tested","","Deferred - route not yet implemented in web.php"
"Error Handling","ERR-001","404 Page","Verify 404 page displays","High","Accessing non-existent route shows styled 404 error page with return home link","","Not Tested","",""
"Error Handling","ERR-002","403 Page","Verify 403 page displays","High","Accessing unauthorized route shows styled 403 error page","","Not Tested","",""
"Error Handling","ERR-003","401 Page","Verify 401 page displays","High","Accessing protected route without auth shows styled 401 page","","Not Tested","",""
"Error Handling","ERR-004","500 Page","Verify 500 page displays","High","Server errors show styled 500 page without exposing stack traces","","Not Tested","",""
"Error Handling","ERR-005","Chatbot","Verify chatbot API error handling","Medium","If chatbot API is down, shows friendly error message with retry option","","Not Tested","",""
"Error Handling","ERR-006","Donation","Verify PayMongo API error handling","Medium","If PayMongo API fails, shows error message and suggests alternative payment methods","","Not Tested","",""
"Error Handling","ERR-007","All Forms","Verify server-side validation errors display in UI","High","Validation errors from server are shown inline next to the relevant field","","Not Tested","",""
"Data Integrity","DATA-001","Mass Intentions","Verify unique reference ID generation","High","Each mass intention gets a unique INT-YYYY-XXXX reference ID","","Not Tested","",""
"Data Integrity","DATA-002","Inquiries","Verify unique reference ID generation","High","Each inquiry gets a unique INQ-YYYY-XXXX reference ID","","Not Tested","",""
"Data Integrity","DATA-003","Mass Intentions","Verify duplicate detection logic","Medium","Duplicate check looks at email + intention type + date within a time window","","Not Tested","",""
"Data Integrity","DATA-004","Inquiries","Verify duplicate detection logic","Medium","Duplicate check looks at email + inquiry type within a time window","","Not Tested","",""
"Data Integrity","DATA-005","Chatbot","Verify chat session persistence","Medium","Chat sessions are stored in database with messages and can be resumed by returning users","","Not Tested","",""
"Data Integrity","DATA-006","All","Verify soft deletes on models","Medium","Deleted records use soft deletes; can be restored if needed","","Not Tested","","Technical QA - requires DB access"
"Data Integrity","DATA-007","Gallery","Verify image upload job queue","High","Image uploads are processed via UploadGalleryMediaJob queue worker","","Not Tested","",""
"Cross-Browser Testing","CB-001","All Pages","Verify Chrome (latest)","High","All features work correctly on latest Chrome (desktop and mobile)","","Not Tested","",""
"Cross-Browser Testing","CB-002","All Pages","Verify Firefox (latest)","High","All features work correctly on latest Firefox","","Not Tested","",""
"Cross-Browser Testing","CB-003","All Pages","Verify Safari (latest)","Medium","All features work correctly on latest Safari (desktop and iOS)","","Not Tested","",""
"Cross-Browser Testing","CB-004","All Pages","Verify Edge (latest)","Medium","All features work correctly on latest Microsoft Edge","","Not Tested","",""
"Cross-Browser Testing","CB-005","Admin Panel","Verify admin panel on mobile","Low","Admin panel is usable on mobile; tables scroll horizontally; forms are accessible","","Not Tested","",""
